ncesID,corpID,corpName,downloadDate,studentCasesTot,studentCasesNew
1800008,2980,White River Valley School District,2021-08-12,33,
1800008,2980,White River Valley School District,2021-08-16,35,2
1800008,2980,White River Valley School District,2021-08-23,40,5
1800030,0125,MSD Southwest Allen County Schls,2021-08-12,142,
1800030,0125,MSD Southwest Allen County Schls,2021-08-16,144,2
1800030,0125,MSD Southwest Allen County Schls,2021-08-23,162,18
1800060,0015,Adams Central Community Schools,2021-08-12,75,
1800060,0015,Adams Central Community Schools,2021-08-16,75,0
1800060,0015,Adams Central Community Schools,2021-08-23,78,3
1800107,4915,Tri-Township Cons School Corp,2021-08-12,14,
1800107,4915,Tri-Township Cons School Corp,2021-08-16,14,0
1800107,4915,Tri-Township Cons School Corp,2021-08-23,14,0
1800118,6375,North Central Parke Comm Schl Corp,2021-08-12,24,
1800118,6375,North Central Parke Comm Schl Corp,2021-08-16,24,0
1800118,6375,North Central Parke Comm Schl Corp,2021-08-23,47,23
1800120,5265,Alexandria Community School Corp,2021-08-12,78,
1800120,5265,Alexandria Community School Corp,2021-08-16,93,15
1800120,5265,Alexandria Community School Corp,2021-08-23,106,13
1800150,5275,Anderson Community School Corp,2021-08-12,70,
1800150,5275,Anderson Community School Corp,2021-08-16,116,46
1800150,5275,Anderson Community School Corp,2021-08-23,156,40
1800180,5470,Argos Community Schools,2021-08-12,31,
1800180,5470,Argos Community Schools,2021-08-16,31,0
1800180,5470,Argos Community Schools,2021-08-23,31,0
1800210,2435,Attica Consolidated School Corp,2021-08-12,44,
1800210,2435,Attica Consolidated School Corp,2021-08-16,46,2
1800210,2435,Attica Consolidated School Corp,2021-08-23,56,10
1800212,0935,Borden-Henryville School Corporation,2021-08-12,40,
1800212,0935,Borden-Henryville School Corporation,2021-08-16,52,12
1800212,0935,Borden-Henryville School Corporation,2021-08-23,73,21
1800213,0945,Silver Creek School Corporation,2021-08-12,95,
1800213,0945,Silver Creek School Corporation,2021-08-16,120,25
1800213,0945,Silver Creek School Corporation,2021-08-23,146,26
1800240,1600,South Dearborn Community Sch Corp,2021-08-12,77,
1800240,1600,South Dearborn Community Sch Corp,2021-08-16,77,0
1800240,1600,South Dearborn Community Sch Corp,2021-08-23,77,0
1800270,3315,Avon Community School Corp,2021-08-12,364,
1800270,3315,Avon Community School Corp,2021-08-16,366,2
1800270,3315,Avon Community School Corp,2021-08-23,366,0
1800330,1315,Barr-Reeve Community Schools Inc,2021-08-12,27,
1800330,1315,Barr-Reeve Community Schools Inc,2021-08-16,27,0
1800330,1315,Barr-Reeve Community Schools Inc,2021-08-23,27,0
1800360,0365,Bartholomew Con School Corp,2021-08-12,166,
1800360,0365,Bartholomew Con School Corp,2021-08-16,189,23
1800360,0365,Bartholomew Con School Corp,2021-08-23,211,22
1800390,6895,Batesville Community School Corp,2021-08-12,89,
1800390,6895,Batesville Community School Corp,2021-08-16,96,7
1800390,6895,Batesville Community School Corp,2021-08-23,105,9
1800420,2260,Baugo Community Schools,2021-08-12,95,
1800420,2260,Baugo Community Schools,2021-08-16,96,1
1800420,2260,Baugo Community Schools,2021-08-23,104,8
1800450,5380,Beech Grove City Schools,2021-08-12,77,
1800450,5380,Beech Grove City Schools,2021-08-16,98,21
1800450,5380,Beech Grove City Schools,2021-08-23,135,37
1800480,0395,Benton Community School Corp,2021-08-12,114,
1800480,0395,Benton Community School Corp,2021-08-16,116,2
1800480,0395,Benton Community School Corp,2021-08-23,123,7
1800570,0515,Blackford County Schools,2021-08-12,64,
1800570,0515,Blackford County Schools,2021-08-16,64,0
1800570,0515,Blackford County Schools,2021-08-23,64,0
1800600,2920,Bloomfield School District,2021-08-12,33,
1800600,2920,Bloomfield School District,2021-08-16,33,0
1800600,2920,Bloomfield School District,2021-08-23,35,2
1800630,5740,Monroe County Community Sch Corp,2021-08-12,224,
1800630,5740,Monroe County Community Sch Corp,2021-08-16,226,2
1800630,5740,Monroe County Community Sch Corp,2021-08-23,250,24
1800660,3405,Blue River Valley Schools,2021-08-12,20,
1800660,3405,Blue River Valley Schools,2021-08-16,23,3
1800660,3405,Blue River Valley Schools,2021-08-23,48,25
1800690,3180,North Harrison Com School Corp,2021-08-12,72,
1800690,3180,North Harrison Com School Corp,2021-08-16,72,0
1800690,3180,North Harrison Com School Corp,2021-08-23,101,29
1800720,8445,MSD Bluffton-Harrison,2021-08-12,89,
1800720,8445,MSD Bluffton-Harrison,2021-08-16,91,2
1800720,8445,MSD Bluffton-Harrison,2021-08-23,109,18
1800750,6460,MSD Boone Township,2021-08-12,52,
1800750,6460,MSD Boone Township,2021-08-16,52,0
1800750,6460,MSD Boone Township,2021-08-23,56,4
1800840,1125,Clay Community Schools,2021-08-12,102,
1800840,1125,Clay Community Schools,2021-08-16,117,15
1800840,1125,Clay Community Schools,2021-08-23,178,61
1800900,5480,Bremen Public Schools,2021-08-12,49,
1800900,5480,Bremen Public Schools,2021-08-16,49,0
1800900,5480,Bremen Public Schools,2021-08-23,58,9
1800960,0670,Brown County School Corporation,2021-08-12,42,
1800960,0670,Brown County School Corporation,2021-08-16,46,4
1800960,0670,Brown County School Corporation,2021-08-23,49,3
1801020,3305,Brownsburg Community School Corp,2021-08-12,407,
1801020,3305,Brownsburg Community School Corp,2021-08-16,451,44
1801020,3305,Brownsburg Community School Corp,2021-08-23,511,60
1801050,3695,Brownstown Cnt Com Sch Corp,2021-08-12,53,
1801050,3695,Brownstown Cnt Com Sch Corp,2021-08-16,53,0
1801050,3695,Brownstown Cnt Com Sch Corp,2021-08-23,54,1
1801060,3455,C A Beard Memorial School Corp,2021-08-12,61,
1801060,3455,C A Beard Memorial School Corp,2021-08-16,68,7
1801060,3455,C A Beard Memorial School Corp,2021-08-23,69,1
1801170,6340,Cannelton City Schools,2021-08-12,2,
1801170,6340,Cannelton City Schools,2021-08-16,2,0
1801170,6340,Cannelton City Schools,2021-08-23,2,0
1801200,3060,Carmel Clay Schools,2021-08-12,655,
1801200,3060,Carmel Clay Schools,2021-08-16,655,0
1801200,3060,Carmel Clay Schools,2021-08-23,673,18
1801230,3640,Medora Community School Corp,2021-08-12,4,
1801230,3640,Medora Community School Corp,2021-08-16,4,0
1801230,3640,Medora Community School Corp,2021-08-23,4,0
1801290,0750,Carroll Consolidated School Corp,2021-08-12,58,
1801290,0750,Carroll Consolidated School Corp,2021-08-16,58,0
1801290,0750,Carroll Consolidated School Corp,2021-08-23,69,11
1801410,2650,Caston School Corporation,2021-08-12,39,
1801410,2650,Caston School Corporation,2021-08-16,39,0
1801410,2650,Caston School Corporation,2021-08-23,40,1
1801440,4205,Center Grove Community School Corp,2021-08-12,595,
1801440,4205,Center Grove Community School Corp,2021-08-16,620,25
1801440,4205,Center Grove Community School Corp,2021-08-23,653,33
1801560,8360,Centerville-Abington Com Schs,2021-08-12,107,
1801560,8360,Centerville-Abington Com Schs,2021-08-16,107,0
1801560,8360,Centerville-Abington Com Schs,2021-08-23,141,34
1801590,1835,DeKalb Co Ctl United Sch Dist,2021-08-12,129,
1801590,1835,DeKalb Co Ctl United Sch Dist,2021-08-16,129,0
1801590,1835,DeKalb Co Ctl United Sch Dist,2021-08-23,156,27
1801710,6055,Central Noble Com School Corp,2021-08-12,30,
1801710,6055,Central Noble Com School Corp,2021-08-16,30,0
1801710,6055,Central Noble Com School Corp,2021-08-23,32,2
1801740,6325,Perry Central Com Schools Corp,2021-08-12,68,
1801740,6325,Perry Central Com Schools Corp,2021-08-16,72,4
1801740,6325,Perry Central Com Schools Corp,2021-08-23,88,16
1801770,6825,Randolph Central School Corp,2021-08-12,48,
