weekID,downloadDate,zcta,cases
2021-08-07,2021-08-12,47431,
2021-08-07,2021-08-12,47467,
2021-08-07,2021-08-12,47522,
2021-08-07,2021-08-12,47536,
2021-08-07,2021-08-12,47521,
2021-08-07,2021-08-12,47551,
2021-08-07,2021-08-12,47585,
2021-08-07,2021-08-12,47966,
2021-08-07,2021-08-12,47584,
2021-08-07,2021-08-12,47597,
2021-08-07,2021-08-12,47876,
2021-08-07,2021-08-12,47943,
2021-08-07,2021-08-12,47451,
2021-08-07,2021-08-12,47465,
2021-08-07,2021-08-12,47529,
2021-08-07,2021-08-12,47578,
2021-08-07,2021-08-12,46988,
2021-08-07,2021-08-12,47010,
2021-08-07,2021-08-12,47036,
2021-08-07,2021-08-12,47270,
2021-08-07,2021-08-12,47537,
2021-08-07,2021-08-12,47590,
2021-08-07,2021-08-12,47640,
2021-08-07,2021-08-12,47849,
2021-08-07,2021-08-12,47123,
2021-08-07,2021-08-12,47162,
2021-08-07,2021-08-12,47226,
2021-08-07,2021-08-12,47524,
2021-08-07,2021-08-12,47280,
2021-08-07,2021-08-12,47325,
2021-08-07,2021-08-12,47385,182
2021-08-07,2021-08-12,47449,
2021-08-07,2021-08-12,47525,
2021-08-07,2021-08-12,47535,
2021-08-07,2021-08-12,47575,
2021-08-07,2021-08-12,47577,
2021-08-07,2021-08-12,47857,
2021-08-07,2021-08-12,47942,
2021-08-07,2021-08-12,47949,
2021-08-07,2021-08-12,47964,
2021-08-07,2021-08-12,46759,
2021-08-07,2021-08-12,46974,143
2021-08-07,2021-08-12,47011,
2021-08-07,2021-08-12,47017,
2021-08-07,2021-08-12,47596,
2021-08-07,2021-08-12,47612,
2021-08-07,2021-08-12,47854,
2021-08-07,2021-08-12,47881,
2021-08-07,2021-08-12,46950,
2021-08-07,2021-08-12,47135,
2021-08-07,2021-08-12,47147,
2021-08-07,2021-08-12,47163,153
2021-08-07,2021-08-12,47955,
2021-08-07,2021-08-12,47958,
2021-08-07,2021-08-12,47981,
2021-08-07,2021-08-12,46915,
2021-08-07,2021-08-12,47345,
2021-08-07,2021-08-12,47352,
2021-08-07,2021-08-12,47515,
2021-08-07,2021-08-12,47531,
2021-08-07,2021-08-12,46731,
2021-08-07,2021-08-12,46799,
2021-08-07,2021-08-12,46920,
2021-08-07,2021-08-12,46943,
2021-08-07,2021-08-12,47231,
2021-08-07,2021-08-12,47264,
2021-08-07,2021-08-12,47324,
2021-08-07,2021-08-12,47360,163
2021-08-07,2021-08-12,47967,
2021-08-07,2021-08-12,46076,163
2021-08-07,2021-08-12,46216,211
2021-08-07,2021-08-12,46301,
2021-08-07,2021-08-12,46930,
2021-08-07,2021-08-12,46957,
2021-08-07,2021-08-12,46961,
2021-08-07,2021-08-12,46967,
2021-08-07,2021-08-12,47110,
2021-08-07,2021-08-12,47223,
2021-08-07,2021-08-12,47234,
2021-08-07,2021-08-12,47244,
2021-08-07,2021-08-12,46990,
2021-08-07,2021-08-12,47038,92
2021-08-07,2021-08-12,47166,
2021-08-07,2021-08-12,47281,
2021-08-07,2021-08-12,47982,
2021-08-07,2021-08-12,46144,
2021-08-07,2021-08-12,46183,
2021-08-07,2021-08-12,47263,
2021-08-07,2021-08-12,46791,
2021-08-07,2021-08-12,46913,
2021-08-07,2021-08-12,46959,
2021-08-07,2021-08-12,46987,
2021-08-07,2021-08-12,47917,
2021-08-07,2021-08-12,47921,
2021-08-07,2021-08-12,47926,
2021-08-07,2021-08-12,47940,
2021-08-07,2021-08-12,47142,
2021-08-07,2021-08-12,47339,
2021-08-07,2021-08-12,47342,245
2021-08-07,2021-08-12,47369,
2021-08-07,2021-08-12,47861,
2021-08-07,2021-08-12,47866,
