zcta,vote16Trump,acsSchPub,acsSchPrv,acsWhiteNonHisp,acsBlackNonHisp,acsAsianNonHisp,acsHispanic,acsOther,acsBAorMore,upsai
47982,0.765027322404372,23,0,165,0,0,8,0,0.08,rural
47987,0.814470288833654,588,148,3907,19,0,72,76,0.108229598893499,rural
47990,0.816223296983979,357,54,1903,0,0,28,33,0.101880877742947,rural
47997,0.766423357664234,29,4,132,0,0,2,0,0.117647058823529,rural
47368,0.735896648794051,441,65,2704,0,13,50,64,0.20487106017192,rural
47381,0.855018587360595,14,0,119,0,0,0,3,0,rural
47451,0.772424000660109,200,22,1046,0,9,32,24,0.100929614873838,rural
47460,0.726590818880082,1551,181,10380,47,99,174,217,0.143963609540202,rural
47462,0.798171365356619,745,74,4662,0,20,42,88,0.190519598906108,rural
47516,0.789566013685786,189,9,1034,0,0,66,0,0.101449275362319,rural
47610,0.679363475477849,1052,15,5315,46,9,7,67,0.129760225669958,rural
47612,0.661909683510401,89,5,697,0,0,5,13,0.192842942345924,rural
47619,0.657222030963588,280,5,1731,3,0,2,17,0.131067961165049,rural
47970,0.753969881045089,362,29,1590,17,9,88,75,0.248735244519393,rural
47981,0.766451592550708,251,0,1090,0,0,0,40,0.284005979073244,rural
47983,0.712480252764613,100,0,303,0,0,0,0,0.300813008130081,rural
47243,0.618840731696398,930,95,5563,117,11,73,143,0.188995958967983,suburban
47280,0.725776965265082,227,133,841,0,0,138,0,0.111111111111111,rural
47337,0.748847926267281,17,0,133,0,0,5,0,0.0823529411764706,rural
47846,0.837953091684435,121,0,532,0,0,0,0,0.250645994832041,rural
47853,0.818456883509834,12,0,121,0,0,0,0,0.0897435897435897,suburban
47854,0.726809136919127,115,0,612,0,0,0,0,0.157549234135667,rural
47868,0.814100177294429,609,59,3028,0,0,0,44,0.103021978021978,rural
47901,0.285777489656591,111,11,3007,156,211,297,44,0.409698996655518,urban
47906,0.379805894553225,8368,1336,54403,2665,14102,4131,2401,0.629727073889752,suburban
47921,0.784549872176111,197,26,956,16,7,106,55,0.106837606837607,rural
47932,0.777058730338701,992,28,5046,16,72,132,51,0.177624309392265,rural
47940,0.849584819741454,209,99,1667,3,0,48,21,0.151724137931034,rural
47546,0.7014795521841,3464,755,19973,84,115,1192,174,0.263207610822482,urban
47025,0.746507040992692,3885,547,21703,239,213,430,209,0.276348439336555,suburban
47141,0.757652004766477,251,33,1356,0,0,186,0,0.121274409044193,rural
47232,0.785166243243548,496,39,3069,13,0,93,152,0.145246478873239,rural
47429,0.60376201568742,1658,368,8981,20,127,34,107,0.303487132632861,suburban
47611,0.703378251695341,297,22,1440,0,0,16,33,0.181906614785992,rural
47992,0.726567143227538,362,0,1089,0,0,268,0,0.178154825026511,rural
47040,0.737724519473252,775,22,4839,89,13,74,88,0.141884816753927,rural
47161,0.734866800544473,420,0,3244,1,0,58,2,0.189834424335772,rural
47150,0.527303753920186,7405,1110,39597,3797,571,2243,1704,0.250977796497984,suburban
47250,0.657080438642919,2740,645,20332,516,245,780,329,0.185052057511155,rural
47711,0.603993247087686,4701,948,29142,1710,488,401,871,0.229154013015184,suburban
47725,0.712390268998794,2938,1041,15675,508,521,337,285,0.45879489761665,suburban
47802,0.584628630993321,4946,799,28446,2713,1096,1310,1329,0.284866217190349,suburban
47837,0.800630769615341,155,0,1007,0,0,0,1,0.132768361581921,rural
47858,0.798892721697465,190,17,691,0,0,33,0,0.215885947046843,rural
47865,0.728155339805825,0,0,18,0,0,0,37,0,rural
47917,0.76487373985967,65,13,373,0,0,119,0,0.158682634730539,rural
47925,0.755508919202518,6,0,117,0,0,0,16,0,rural
47963,0.789343043211594,313,49,1984,0,0,57,16,0.175824175824176,rural
47967,0.826752242175417,82,21,658,9,10,3,0,0.134146341463415,rural
47974,0.789116910797786,151,21,1121,9,0,13,33,0.151447661469933,rural
47978,0.720202690985967,1951,224,10600,108,72,574,161,0.161415220293725,rural
47283,0.831510426909563,561,60,3042,0,11,58,82,0.142253521126761,rural
47362,0.697685934878702,4665,340,27448,1103,33,613,676,0.154291584944429,urban
47106,0.735608517400873,885,160,4975,3,0,27,0,0.179595532749774,rural
47670,0.698022626246406,1837,209,10849,658,10,235,296,0.146259724715739,suburban
47930,0.733090600918226,223,32,1254,0,0,9,31,0.247178329571106,rural
47665,0.785220931536096,675,75,3667,5,29,6,39,0.17473338802297,rural
47872,0.776047007168064,976,188,8189,79,0,132,347,0.099562363238512,rural
47123,0.695652173913044,20,0,122,0,0,0,0,0,rural
47227,0.791617761081171,425,10,2299,0,0,0,0,0.0965346534653465,rural
47467,0.823284823284823,22,0,167,0,0,0,0,0,rural
47525,0.624836559936733,26,0,281,0,0,0,0,0.203921568627451,rural
47637,0.751524002525503,253,9,1294,0,0,0,0,0.131914893617021,rural
47918,0.748036840603047,853,94,5363,14,0,223,79,0.151559813313682,rural
47433,0.748837549864229,493,338,3971,0,4,6,58,0.176577229876722,rural
47535,0.883512544802867,210,11,733,0,0,0,25,0.0985626283367557,rural
47635,0.706464174107124,878,109,5117,104,14,113,84,0.11614730878187,rural
47989,0.839071961077498,199,47,1330,0,2,34,64,0.122727272727273,rural
47369,0.820297708128454,176,14,1293,2,3,10,12,0.0855057351407717,rural
47952,0.822279804868658,437,94,2891,2,0,19,29,0.17010062290369,rural
47104,0.783783783783784,0,0,0,0,0,0,0,,rural
47110,0.796538518344796,167,0,417,0,0,0,0,0.15625,rural
47306,0.303201243373967,0,0,4019,483,103,270,221,0,suburban
