ncesID,corpID,corpName,downloadDate,studentCasesTot,studentCasesNew
1800008,2980,White River Valley School District,20210812,33,
1800008,2980,White River Valley School District,20210816,35,2
1800008,2980,White River Valley School District,20210823,40,5
1800030,0125,MSD Southwest Allen County Schls,20210812,142,
1800030,0125,MSD Southwest Allen County Schls,20210816,144,2
1800030,0125,MSD Southwest Allen County Schls,20210823,162,18
1800060,0015,Adams Central Community Schools,20210812,75,
1800060,0015,Adams Central Community Schools,20210816,75,0
1800060,0015,Adams Central Community Schools,20210823,78,3
1800107,4915,Tri-Township Cons School Corp,20210812,14,
1800107,4915,Tri-Township Cons School Corp,20210816,14,0
1800107,4915,Tri-Township Cons School Corp,20210823,14,0
1800118,6375,North Central Parke Comm Schl Corp,20210812,24,
1800118,6375,North Central Parke Comm Schl Corp,20210816,24,0
1800118,6375,North Central Parke Comm Schl Corp,20210823,47,23
1800120,5265,Alexandria Community School Corp,20210812,78,
1800120,5265,Alexandria Community School Corp,20210816,93,15
1800120,5265,Alexandria Community School Corp,20210823,106,13
1800150,5275,Anderson Community School Corp,20210812,70,
1800150,5275,Anderson Community School Corp,20210816,116,46
1800150,5275,Anderson Community School Corp,20210823,156,40
1800180,5470,Argos Community Schools,20210812,31,
1800180,5470,Argos Community Schools,20210816,31,0
1800180,5470,Argos Community Schools,20210823,31,0
1800210,2435,Attica Consolidated School Corp,20210812,44,
1800210,2435,Attica Consolidated School Corp,20210816,46,2
1800210,2435,Attica Consolidated School Corp,20210823,56,10
1800212,0935,Borden-Henryville School Corporation,20210812,40,
1800212,0935,Borden-Henryville School Corporation,20210816,52,12
1800212,0935,Borden-Henryville School Corporation,20210823,73,21
1800213,0945,Silver Creek School Corporation,20210812,95,
1800213,0945,Silver Creek School Corporation,20210816,120,25
1800213,0945,Silver Creek School Corporation,20210823,146,26
1800240,1600,South Dearborn Community Sch Corp,20210812,77,
1800240,1600,South Dearborn Community Sch Corp,20210816,77,0
1800240,1600,South Dearborn Community Sch Corp,20210823,77,0
1800270,3315,Avon Community School Corp,20210812,364,
1800270,3315,Avon Community School Corp,20210816,366,2
1800270,3315,Avon Community School Corp,20210823,366,0
1800330,1315,Barr-Reeve Community Schools Inc,20210812,27,
1800330,1315,Barr-Reeve Community Schools Inc,20210816,27,0
1800330,1315,Barr-Reeve Community Schools Inc,20210823,27,0
1800360,0365,Bartholomew Con School Corp,20210812,166,
1800360,0365,Bartholomew Con School Corp,20210816,189,23
1800360,0365,Bartholomew Con School Corp,20210823,211,22
1800390,6895,Batesville Community School Corp,20210812,89,
1800390,6895,Batesville Community School Corp,20210816,96,7
1800390,6895,Batesville Community School Corp,20210823,105,9
1800420,2260,Baugo Community Schools,20210812,95,
1800420,2260,Baugo Community Schools,20210816,96,1
1800420,2260,Baugo Community Schools,20210823,104,8
1800450,5380,Beech Grove City Schools,20210812,77,
1800450,5380,Beech Grove City Schools,20210816,98,21
1800450,5380,Beech Grove City Schools,20210823,135,37
1800480,0395,Benton Community School Corp,20210812,114,
1800480,0395,Benton Community School Corp,20210816,116,2
1800480,0395,Benton Community School Corp,20210823,123,7
1800570,0515,Blackford County Schools,20210812,64,
1800570,0515,Blackford County Schools,20210816,64,0
1800570,0515,Blackford County Schools,20210823,64,0
1800600,2920,Bloomfield School District,20210812,33,
1800600,2920,Bloomfield School District,20210816,33,0
1800600,2920,Bloomfield School District,20210823,35,2
1800630,5740,Monroe County Community Sch Corp,20210812,224,
1800630,5740,Monroe County Community Sch Corp,20210816,226,2
1800630,5740,Monroe County Community Sch Corp,20210823,250,24
1800660,3405,Blue River Valley Schools,20210812,20,
1800660,3405,Blue River Valley Schools,20210816,23,3
1800660,3405,Blue River Valley Schools,20210823,48,25
1800690,3180,North Harrison Com School Corp,20210812,72,
1800690,3180,North Harrison Com School Corp,20210816,72,0
1800690,3180,North Harrison Com School Corp,20210823,101,29
1800720,8445,MSD Bluffton-Harrison,20210812,89,
1800720,8445,MSD Bluffton-Harrison,20210816,91,2
1800720,8445,MSD Bluffton-Harrison,20210823,109,18
1800750,6460,MSD Boone Township,20210812,52,
1800750,6460,MSD Boone Township,20210816,52,0
1800750,6460,MSD Boone Township,20210823,56,4
1800840,1125,Clay Community Schools,20210812,102,
1800840,1125,Clay Community Schools,20210816,117,15
1800840,1125,Clay Community Schools,20210823,178,61
1800900,5480,Bremen Public Schools,20210812,49,
1800900,5480,Bremen Public Schools,20210816,49,0
1800900,5480,Bremen Public Schools,20210823,58,9
1800960,0670,Brown County School Corporation,20210812,42,
1800960,0670,Brown County School Corporation,20210816,46,4
1800960,0670,Brown County School Corporation,20210823,49,3
1801020,3305,Brownsburg Community School Corp,20210812,407,
1801020,3305,Brownsburg Community School Corp,20210816,451,44
1801020,3305,Brownsburg Community School Corp,20210823,511,60
1801050,3695,Brownstown Cnt Com Sch Corp,20210812,53,
1801050,3695,Brownstown Cnt Com Sch Corp,20210816,53,0
1801050,3695,Brownstown Cnt Com Sch Corp,20210823,54,1
1801060,3455,C A Beard Memorial School Corp,20210812,61,
1801060,3455,C A Beard Memorial School Corp,20210816,68,7
1801060,3455,C A Beard Memorial School Corp,20210823,69,1
1801170,6340,Cannelton City Schools,20210812,2,
1801170,6340,Cannelton City Schools,20210816,2,0
1801170,6340,Cannelton City Schools,20210823,2,0
1801200,3060,Carmel Clay Schools,20210812,655,
1801200,3060,Carmel Clay Schools,20210816,655,0
1801200,3060,Carmel Clay Schools,20210823,673,18
1801230,3640,Medora Community School Corp,20210812,4,
1801230,3640,Medora Community School Corp,20210816,4,0
1801230,3640,Medora Community School Corp,20210823,4,0
1801290,0750,Carroll Consolidated School Corp,20210812,58,
1801290,0750,Carroll Consolidated School Corp,20210816,58,0
1801290,0750,Carroll Consolidated School Corp,20210823,69,11
1801410,2650,Caston School Corporation,20210812,39,
1801410,2650,Caston School Corporation,20210816,39,0
1801410,2650,Caston School Corporation,20210823,40,1
1801440,4205,Center Grove Community School Corp,20210812,595,
1801440,4205,Center Grove Community School Corp,20210816,620,25
1801440,4205,Center Grove Community School Corp,20210823,653,33
1801560,8360,Centerville-Abington Com Schs,20210812,107,
1801560,8360,Centerville-Abington Com Schs,20210816,107,0
1801560,8360,Centerville-Abington Com Schs,20210823,141,34
1801590,1835,DeKalb Co Ctl United Sch Dist,20210812,129,
1801590,1835,DeKalb Co Ctl United Sch Dist,20210816,129,0
1801590,1835,DeKalb Co Ctl United Sch Dist,20210823,156,27
1801710,6055,Central Noble Com School Corp,20210812,30,
1801710,6055,Central Noble Com School Corp,20210816,30,0
1801710,6055,Central Noble Com School Corp,20210823,32,2
1801740,6325,Perry Central Com Schools Corp,20210812,68,
1801740,6325,Perry Central Com Schools Corp,20210816,72,4
1801740,6325,Perry Central Com Schools Corp,20210823,88,16
1801770,6825,Randolph Central School Corp,20210812,48,
1801770,6825,Randolph Central School Corp,20210816,48,0
1801770,6825,Randolph Central School Corp,20210823,56,8
1801890,4145,Clark-Pleasant Community Sch Corp,20210812,350,
1801890,4145,Clark-Pleasant Community Sch Corp,20210816,426,76
1801890,4145,Clark-Pleasant Community Sch Corp,20210823,448,22
1801920,1000,Clarksville Community School Corp,20210812,24,
1801920,1000,Clarksville Community School Corp,20210816,26,2
1801920,1000,Clarksville Community School Corp,20210823,36,10
1802040,3470,Northwestern School Corp,20210812,102,
1802040,3470,Northwestern School Corp,20210816,109,7
1802040,3470,Northwestern School Corp,20210823,116,7
1802130,1150,Clinton Central School Corporation,20210812,54,
1802130,1150,Clinton Central School Corporation,20210816,54,0
1802130,1150,Clinton Central School Corporation,20210823,55,1
